"公布注意有價證券資訊 (108年08月01日 至 112年07月18日 全部上市有價證券)"
"編號","證券代號","證券名稱","累計次數","注意交易資訊","日期","收盤價","本益比",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.07.09","1.90      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.07.08","1.80      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.07.07","1.85      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.07.06","1.86      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.07.03","1.92      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.07.02","1.88      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.07.01","2.13      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.06.30","2.17      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.06.29","2.20      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.06.24","2.28      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.06.23","2.24      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.06.22","2.28      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.06.19","2.31      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.06.18","2.31      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.06.17","2.33      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.06.16","2.36      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.06.15","2.30      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.06.12","2.41      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.06.11","2.44      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.06.10","2.60      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.06.09","2.65      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.06.08","2.78      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.06.05","2.46      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.06.04","2.37      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.06.03","2.45      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.06.02","2.11      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.06.01","2.22      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.05.29","2.24      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.05.28","2.28      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.05.27","2.40      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.05.26","2.40      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.05.25","2.34      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.05.22","2.42      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.05.21","2.59      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.05.20","2.59      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.05.19","2.68      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.05.18","2.74      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.05.15","2.93      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.05.14","2.87      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.05.13","3.01      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.05.12","3.03      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.05.11","3.07      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.05.08","2.92      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.05.07","2.87      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.05.06","3.00      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.05.05","3.10      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.05.04","2.95      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.04.30","2.95      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.04.29","2.50      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.04.28","2.22      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.04.27","2.31      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.04.24","2.59      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.04.23","2.58      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.04.22","2.06      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.04.21","3.55      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.04.20","3.68      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.04.17","3.82      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.04.16","3.11      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.04.15","3.51      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.04.14","3.92      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.04.13","4.08      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.04.10","4.21      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.04.09","4.64      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.04.08","4.19      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.04.07","4.20      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.04.06","3.45      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.04.01","2.90      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.03.31","2.90      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.03.30","2.55      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.03.27","2.91      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.03.26","3.05      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.03.25","3.18      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.03.24","2.89      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.03.23","2.57      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.03.19","1.61      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.03.18","2.40      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.03.17","3.41      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.03.16","4.03      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.03.13","4.36      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.03.12","3.51      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.03.11","4.48      ","-----     ",
"2","00672L","元大S&P原油正2","112","本公司監視業務督導會報決議﹝第十三款﹞","109.03.10","5.86      ","-----     ",
"3","00673R","元大S&P原油反1","1","最近六個營業日累積收盤價漲幅達57.05%﹝第一款﹞。","109.04.23","43.44     ","-----     ",
"4","00677U","富邦VIX","1","最近六個營業日累積收盤價漲幅達46.17%﹝第一款﹞。","109.03.20","11.18     ","-----     ",
"5","00715L","街口布蘭特油正2","87","本公司監視業務督導會報決議﹝第十三款﹞","109.09.11","3.52      ","-----     ",
"5","00715L","街口布蘭特油正2","87","本公司監視業務督導會報決議﹝第十三款﹞","109.09.09","3.69      ","-----     ",
"5","00715L","街口布蘭特油正2","87","本公司監視業務督導會報決議﹝第十三款﹞","109.07.24","4.16      ","-----     ",
"5","00715L","街口布蘭特油正2","87","本公司監視業務督導會報決議﹝第十三款﹞","109.07.20","4.18      ","-----     ",
"5","00715L","街口布蘭特油正2","87","本公司監視業務督導會報決議﹝第十三款﹞","109.07.17","4.40      ","-----     ",
"5","00715L","街口布蘭特油正2","87","本公司監視業務督導會報決議﹝第十三款﹞","109.07.16","4.72      ","-----     ",
"5","00715L","街口布蘭特油正2","87","本公司監視業務督導會報決議﹝第十三款﹞","109.07.15","4.70      ","-----     ",
"5","00715L","街口布蘭特油正2","87","本公司監視業務督導會報決議﹝第十三款﹞","109.07.14","4.64      ","-----     ",
"5","00715L","街口布蘭特油正2","87","本公司監視業務督導會報決議﹝第十三款﹞","109.07.13","4.94      ","-----     ",
"5","00715L","街口布蘭特油正2","87","本公司監視業務督導會報決議﹝第十三款﹞","109.07.10","5.04      ","-----     ",
"5","00715L","街口布蘭特油正2","87","本公司監視業務督導會報決議﹝第十三款﹞","109.07.09","5.56      ","-----     ",
"5","00715L","街口布蘭特油正2","87","本公司監視業務督導會報決議﹝第十三款﹞","109.07.08","5.64      ","-----     ",
"5","00715L","街口布蘭特油正2","87","本公司監視業務督導會報決議﹝第十三款﹞","109.07.07","5.76      ","-----     ",
"5","00715L","街口布蘭特油正2","87","本公司監視業務督導會報決議﹝第十三款﹞","109.07.06","5.81      ","-----     ",
"5","00715L","街口布蘭特油正2","87","本公司監視業務督導會報決議﹝第十三款﹞","109.07.03","5.75      ","-----     ",
"5","00715L","街口布蘭特油正2","87","本公司監視業務督導會報決議﹝第十三款﹞","109.07.02","5.85      ","-----     ",
"5","00715L","街口布蘭特油正2","87","本公司監視業務督導會報決議﹝第十三款﹞","109.07.01","5.96      ","-----     ",
"5","00715L","街口布蘭特油正2","87","本公司監視業務督導會報決議﹝第十三款﹞","109.06.30","6.01      ","-----     ",
"5","00715L","街口布蘭特油正2","87","本公司監視業務督導會報決議﹝第十三款﹞","109.06.29","5.97      ","-----     ",
"5","00715L","街口布蘭特油正2","87","本公司監視業務督導會報決議﹝第十三款﹞","109.06.24","6.18      ","-----     ",
"5","00715L","街口布蘭特油正2","87","本公司監視業務督導會報決議﹝第十三款﹞","109.06.23","6.14      ","-----     ",
"5","00715L","街口布蘭特油正2","87","本公司監視業務督導會報決議﹝第十三款﹞","109.06.22","6.15      ","-----     ",
"5","00715L","街口布蘭特油正2","87","本公司監視業務督導會報決議﹝第十三款﹞","109.06.19","6.25      ","-----     ",
"5","00715L","街口布蘭特油正2","87","本公司監視業務督導會報決議﹝第十三款﹞","109.06.18","6.23      ","-----     ",
"5","00715L","街口布蘭特油正2","87","本公司監視業務督導會報決議﹝第十三款﹞","109.06.17","6.23      ","-----     ",
"5","00715L","街口布蘭特油正2","87","本公司監視業務督導會報決議﹝第十三款﹞","109.06.16","6.20      ","-----     ",
"5","00715L","街口布蘭特油正2","87","本公司監視業務督導會報決議﹝第十三款﹞","109.06.15","5.90      ","-----     ",
"5","00715L","街口布蘭特油正2","87","本公司監視業務督導會報決議﹝第十三款﹞","109.06.12","6.11      ","-----     ",
"5","00715L","街口布蘭特油正2","87","本公司監視業務督導會報決議﹝第十三款﹞","109.06.11","6.10      ","-----     ",
"5","00715L","街口布蘭特油正2","87","本公司監視業務督導會報決議﹝第十三款﹞","109.06.10","6.57      ","-----     ",
"5","00715L","街口布蘭特油正2","87","本公司監視業務督導會報決議﹝第十三款﹞","109.06.09","6.65      ","-----     ",
"5","00715L","街口布蘭特油正2","87","本公司監視業務督導會報決議﹝第十三款﹞","109.06.08","6.99      ","-----     ",
"5","00715L","街口布蘭特油正2","87","本公司監視業務督導會報決議﹝第十三款﹞","109.06.05","6.37      ","-----     ",
"5","00715L","街口布蘭特油正2","87","本公司監視業務督導會報決議﹝第十三款﹞","109.06.04","5.90      ","-----     ",
"5","00715L","街口布蘭特油正2","87","本公司監視業務督導會報決議﹝第十三款﹞","109.06.03","5.94      ","-----     ",
"5","00715L","街口布蘭特油正2","87","本公司監視業務督導會報決議﹝第十三款﹞","109.06.02","5.40      ","-----     ",
"5","00715L","街口布蘭特油正2","87","本公司監視業務督導會報決議﹝第十三款﹞","109.06.01","5.26      ","-----     ",
"5","00715L","街口布蘭特油正2","87","本公司監視業務督導會報決議﹝第十三款﹞","109.05.29","5.06      ","-----     ",
"5","00715L","街口布蘭特油正2","87","本公司監視業務督導會報決議﹝第十三款﹞","109.05.28","5.10      ","-----     ",
"5","00715L","街口布蘭特油正2","87","本公司監視業務督導會報決議﹝第十三款﹞","109.05.27","5.28      ","-----     ",
"5","00715L","街口布蘭特油正2","87","本公司監視業務督導會報決議﹝第十三款﹞","109.05.26","5.28      ","-----     ",
"5","00715L","街口布蘭特油正2","87","本公司監視業務督導會報決議﹝第十三款﹞","109.05.25","5.20      ","-----     ",
"5","00715L","街口布蘭特油正2","87","本公司監視業務督導會報決議﹝第十三款﹞","109.05.22","5.40      ","-----     ",
"5","00715L","街口布蘭特油正2","87","本公司監視業務督導會報決議﹝第十三款﹞","109.05.21","5.63      ","-----     ",
"5","00715L","街口布蘭特油正2","87","本公司監視業務督導會報決議﹝第十三款﹞","109.05.20","5.58      ","-----     ",
"5","00715L","街口布蘭特油正2","87","本公司監視業務督導會報決議﹝第十三款﹞","109.05.19","5.60      ","-----     ",
"5","00715L","街口布蘭特油正2","87","本公司監視業務督導會報決議﹝第十三款﹞","109.05.18","5.90      ","-----     ",
"5","00715L","街口布蘭特油正2","87","本公司監視業務督導會報決議﹝第十三款﹞","109.05.15","5.94      ","-----     ",
"5","00715L","街口布蘭特油正2","87","本公司監視業務督導會報決議﹝第十三款﹞","109.05.14","5.75      ","-----     ",
"5","00715L","街口布蘭特油正2","87","本公司監視業務督導會報決議﹝第十三款﹞","109.05.13","5.98      ","-----     ",
"5","00715L","街口布蘭特油正2","87","本公司監視業務督導會報決議﹝第十三款﹞","109.05.12","6.11      ","-----     ",
